Tai yra tiesa.	That's true.
Tomui teko bėgti.	Tom had to run.
Tu patinki Tomui.	Tom likes you.
Turiu grąžinti knygas į biblioteką iki sausio 25 dienos.	I've got to take my library books back before January 25th.
Vaikas verkė visą naktį.	The baby cried all night.
Velnias slepiasi už kryžiaus.	The devil lurks behind the cross.
Ar atsimeni savo paso numerį?	Do you remember your passport number?
Ar jau atlikai namų darbus?	Have you already done your homework?
Ar jūs žinote televizijos bokšto aukštį?	Do you know how high the television tower is?
Ar norėtum dar vieno puodelio kavos?	Would you like to have another cup of tea?
Ar norėtum puodelio arbatos?	Don't you want a cup of tea?
Ar norėtum puodelio kavos?	Would you like to have a cup of coffee?
Ar pamenate šį žaidimą?	Do you remember this game?
Ar šiuo metu esate užsiėmę?	Are you busy at the moment?
Ar Tomas turi patirtį?	Does Tom have experience?
Ar tu nuėjai tiesiai namo vakar po mokyklos?	Did you go straight home after school yesterday?
Aš bijau laukinių gyvūnų.	I'm afraid of wild animals.
Aš ieškojau savo puodelio, bet jo neradau.	I looked for my cup, but didn't find it.
Aš ketinau kitais metais aplankyti Romą.	I intended to visit Rome last year.
Aš klausausi muzikos.	I'm listening to music.
Aš negaliu patikėti kad ji yra vyresnė už mano motiną.	I can't believe that she is older than my mother.
Aš nemanau kad tai buvo išmintingas sprendimas.	I don't think that was a wise decision.
Aš nenoriu gerti šaltos arbatos.	I don't want to drink cold tea.
Aš padariau tas pačias klaidas kaip ir praeitą kartą.	I've made the same mistakes as I made last time.
Aš su juo susitinku kitą penktadienį.	I am meeting him next Friday.
Aš turiu keletą draugų Bostone.	I have several friends in Boston.
Aš vis dar sapnuoju apie Vokietiją.	I still dream about Germany.
Aš žinau kad jos duona bus skani.	I know that her bread will be tasty.
Atnešk jai lėkštę salotų.	Bring her a plate of salad.
Atsakymas yra aiškus.	The answer is clear.
Atsisveikink su savo draugais.	Say goodbye to your friends.
Biblioteka yra į dešinę.	The library is to the right.
Biblioteka yra į kairę.	The library is to the left.
Dabar yra be dešimties minučių aštuonios.	It's 7:50 in the morning.
Dauguma žmonių valgė labai greitai, ir maistas greitai dingo.	Most folks ate very quickly and the food soon disappeared.
Dideli vyrai nebūtinai yra stiprųs vyrai.	Big men are not necessarily strong men.
Džonas linksmai praleidžia laiką.	John is having a good time.
Džonas yra prancūzų literatūros profesorius Oksfordo Universitete.	John is professor of French literature at Oxford and his wife is French.
Galbūt dabar, kai žinai tiesą, tu pasijusi geriau?	Now that you know the truth, perhaps you'll feel better.
Jam patinka skaityti laikraščius.	He likes to read newspapers.
Jam reikia puodelio cukraus.	He needs a cup of sugar.
Japonai yra drąsi tauta.	The Japanese are a brave people.
Jautienos, prašau.	Beef, please.
Jie sėdėjo ant sofos mūsų svetainėje.	They were sitting on the sofa in our living room.
Jie visi juokėsi iš savo klaidos.	They all laughed at their error.
Ji nemano kad mėsa yra skani.	She doesn't find meat tasty.
Ji nuvedė jį prie ežero.	She took him to the lake.
Jis dirba nuo pirmadienio iki penktadienio.	He works from Monday to Friday.
Jis grąžino man mano pinigus.	He gave me back the money.
Jis išmoko anglų prieš išvykstant į Angliją.	He had learned English before he left for England.
Jis liko lovoje todėl kad jis jautėsi nekaip.	He stayed in bed because he wasn't feeling well.
Jis mėgsta skaityti laikraščius.	He likes to read newspapers.
Jis nori tik vieno puodelio arbatos.	He wants only one cup of tea.
Jis perėmė savo tėvo verslą.	He took over his father's business.
Jo dviratis yra geresnis nei mano.	His bike is better than mine.
Jos dviratis yra geresnis nei mano.	Her bike is better than mine.
Kaip buvo tavo savaitgalis?	How was your weekend?
Kaip tu susipažinai su Mere?	How did you get to know Mary?
Kaip tu susipažinai su tuo žmogumi?	How did you get to know that person?
Karalius valdė šalį.	The king governed the country.
Karvės ėda žolę.	Cows eat grass.
Kas skambina pianinu?	Who is playing the piano?
Kelintą valandą grįši namo?	What time will you be back home?
Klausausi radijo.	I am listening to the radio.
Klausyk savo širdies, nes ji niekada nemeluoja.	Follow your heart, for it never lies.
Koks vaisius yra raudonas?	What fruit is red?
Kuri yra didesnė, Japonija ar Anglija?	Which is larger, Japan or England?
Kur yra paštas?	Where is the post office?
Kur yra Vokietijos ambasada?	Where is the German embassy?
Laikrodis skuba.	The clock is fast.
Laukuose dar vanduo guli.	Water is still standing in the fields.
Mama yra vyresnė už tėtį.	Mom is older than Dad.
Man nereikėjo vykti į Vokietiją.	I didn't need to go to Germany.
Man patinka vasara, bet aš negaliu pakęsti karščio.	I like summer, but I can't stand the heat.
Mažas automobilis užima mažai vietos.	A small car takes little room.
Mėlynas dviratis yra naujas.	The blue bicycle is new.
Mėnulis yra Žemės palydovas.	The moon is a satellite of the earth.
Merė įsiveržė į virtuvę.	Mary burst into the kitchen.
Mes jau nebeturime arbatos.	We don't have any tea any more.
Mes jau nebeturime bulvių.	We don't have any potatoes any more.
Mes matėme debesis virš kalno.	We saw clouds above the mountain.
Mes palikome duris atviras.	We left the door open.
Mes pasiekėme kalno viršūnę.	We reached the top of the mountain.
Mes žaidžiame futbolą kiekvieną šeštadienį.	We play soccer every Saturday.
Mes žaidžiame sekmadienį.	We play on Sunday.
Mokau ispanų kalbos.	I teach Spanish.
Mokiniai skuba į mokyklą.	Students are hurrying to school.
Mokslininkai paaiškina tą kitaip.	Scientists interpret it differently.
Naudok savo kitą ranką taip pat.	Use your other hand, too.
Naujoji mašina užima daug vietos.	The new machine will take a lot of room.
Negaliu patikėti kad pardavei tą šlamštą už tokią kainą.	I can't believe that you really sold that junk for such a high price.
Nekenčiu kompiuterių.	I hate computers.
Nepamiršk savo krepšio.	Don't forget your bag.
Netgi šitie žodžiai kada nors išnyks.	Even these words will someday disappear.
Neturėtum be leidimo skaityti kitų žmonių asmeninių laiškų.	You shouldn't read other people's private letters without permission.
Norėčiau tarti porą žodžių.	I'd like to say a few words.
Nusikaltėlis pasidavė policijai.	The criminal gave himself up to the police.
Nusivilk rūbus ir gulkis ant lovos!	Take off your clothes and lie down on the bed!
Nuvežk Tomą į ligoninę.	Take Tom to the hospital.
Padėk man sau susirasti tuščią kambarį.	Help me find an empty room for myself.
Pagaliau, mano sesuo ištekėjo.	Finally, my sister got married.
Paieškok mano katės po lova.	Look for my cat under the bed.
Palikau langą atvirą visą naktį.	I left the window open all through the night.
Paskolink jam tiek pinigų kiek jam reikia.	Lend him as much money as he needs.
Paukščiai išskrido į pietus.	The birds flew to the south.
Paukštis turi sparnus.	A bird has wings.
Pietus kasdien valgau vidurdienį.	I eat lunch every day at noon.
Prancūzija yra Vakarų Europoje.	France is in Western Europe.
Prašau paskolink man savo knygą.	Please lend me your book.
Pro langą pamatysi daug aukštų kalnų.	You'll see a lot of high mountains through the window.
Šeštadienis ateina prieš sekmadienį.	Saturday comes before Sunday.
Ši arbata yra labai skani.	The tea is very tasty.
Ši gėlė yra gražesnė nei ana.	This flower is more beautiful than that one.
Ši gėlė yra gražesnė už aną.	This flower is more beautiful than that one.
Ši knyga yra apie karalių kuris pametė savo karūną.	This book is about a king who loses his crown.
Ši lenta yra ne juoda o žalia.	This blackboard is not black, but green.
Ši mašina užima daug vietos.	The machine takes a lot of room.
Ši mėsa yra skani.	This is good meat.
Šioje šalyje vidutinis vaikų skaičius šeimai nukrito nuo dviejų iki vieno su puse.	In this country the average number of children per family fell from 2 to 1.5.
Šios kėdės yra skirtingos.	These chairs are different.
Šios ponios yra mano tetos.	These ladies are my aunts.
Šį rytą buvo dešimt laipsnių žemiau nulio.	It was ten degrees below zero this morning.
Šis berniukas turi stiprų ir sveiką kūną.	This boy has a strong and healthy body.
Šis dviratis priklauso man.	This bicycle belongs to me.
Ši sofa užima per daug vietos.	This sofa takes too much room.
Šį vakarą užsuk į mano biurą.	Drop by my office this evening.
Šuo negali užlipti ant sienos.	A dog can't climb up a wall.
Ta klaida yra labai bendras.	That error is very common.
Taksi staigiai pasuko į kairę.	The taxi abruptly turned left.
Tas kaklaraištis tau labai tinka.	That tie suits you very well.
Tavo dviratis yra geresnis nei mano.	Your bike is better than mine.
Tavo dviratis yra panašus į mano.	Your bicycle is similar to mine.
Tomas atidarė šaldytuvą.	Tom opened the refrigerator.
Tomas dabar gyvena Bostone.	Tom now lives in Boston.
Tomas sugriovė smėlio pilį, kurį pastatė vaikai.	Tom destroyed the children's sand castle.
Tomas turi seserį, kuri yra advokatė.	Tom has a sister who is a lawyer.
Tomas važiuoja dviračiu.	Tom is riding a bicycle.
Tomas yra labai kantrus.	Tom has a lot of patience.
Tomas yra tavo įpėdinis.	Tom is your heir.
Tu esi geras virėjas.	You are a good cook.
Turiu nueiti apsipirkti, grįšiu po valandos.	I have to go shopping. I'll be back in an hour.
Vietoje buvo dešimt policininkų.	There were ten police officers on the spot.
Virš mūsų skraido lėktuvai.	Airplanes fly above us.
Visi keliai veda į Romą.	All roads lead to Rome.
Yra aišku kad jis pavogė pinigus iš seifo.	It's clear that he stole money from the safe.
Žmonės, kurie nemano kad lotynų kalba yra pati gražiausia, nieko nesupranta.	People that don't think Latin is the most beautiful language understand nothing.
Ant jo marškinių buvo pomidorų padažo dėmė.	On his shirt there was a sauce stain.
Ant stalo stovi vienas puodelis.	There's one cup on the table.
Ar gali mane pavežti iki stoties?	Can you give me a ride to the station?
Ar kada nors žaidei domino?	Have you ever played dominoes?
Ar kam nors sakei kur yra mūsų slėptuvė?	Have you told anyone where our hideout is?
Arkliai yra gyvūnai.	Horses are animals.
Ar šiame viešbutyje yra teniso kortas?	Do you have a tennis court in this hotel?
Ar tai yra gera vieta pasodinti medį?	Is this a good place to plant a tree?
Aš atidariau dėžę, bet ji buvo tuščia.	I opened the box, but it was empty.
Aš atidariau dėžę. Ji buvo tuščia.	I opened the box. It was empty.
Aš esu našlė.	I am a widow.
Aš gėriau pieną.	I drank milk.
Aš geriu pieną.	I drink milk.
Aš gimiau Kinijoje.	I was born in China.
Aš gyvenu mažame mieste.	I live in a small town.
Aš išmokau važiuoti dviračiu kai man buvo šešeri.	I learned how to ride a bike when I was six years old.
Aš ką tik pasikeičiau slaptažodį.	I just changed my password.
Aš maniau, kad ši pora batų laikys ilgiau.	I thought this pair of shoes would last longer.
Aš nemėgstu didelių miestų.	I dislike big cities.
Aš nenoriu pasikalbėti su tavimi, nes tu sudaužei mano širdį.	I don't want to talk to you, because you broke my heart.
Aš norėčiau pasikalbėti su Džonu.	I'd like to talk to John.
Aš padariau kelias klaidas per egzaminą.	I made several mistakes in the exam.
Aš pagaminau šią kėdę.	I made this chair.
Aš pagaminau šį maistą pati.	I made this food myself.
Aš pagaminau šį maistą pats.	I made this food myself.
Aš pasiklydau miške.	I got lost in the forest.
Aš pasiskolinau pinigų iš savo draugo.	I borrowed some money from a friend.
Aš priėmiau jo kvietimą.	I accepted his invitation.
Aš radau jos motiną negyvą.	I found her mother dead.
Aš tau parodysiu kaip gaudyti žuvį.	I'll show you how to catch fish.
Aš turėjau vilkėti paltą.	I should've worn a coat.
Aš turiu draugą, kuris gyvena Vokietijoje. Jo vardas Tomas. Pažįsti jį?	I have a friend who lives in Germany. His name is Tom. Do you know him?
Aš uždirbu 100 eurų per dieną.	I make €100 a day.
Aš užmigau per pamoką.	I went to sleep during the lesson.
Aš užmigau žiūrėdamas televizorių.	I fell asleep while watching TV.
Aš visur ieškojau, bet negaliu rasti savo piniginės.	I've looked everywhere, but I can't find my wallet.
Atnešk kibirą obuolių.	Bring a bucket of apples.
Bėk greitai, kitaip pavėluosi į autobusą.	Run fast, otherwise you will miss the bus.
Darbas dar nebaigtas.	The work is not finished yet.
Darbui savanorių nebuvo.	There were no volunteers for the job.
Dramblys yra pilkas.	The elephant is grey.
Duok man keturias baltas lėkštes.	Give me four white plates.
Džesika dainavo dainą.	Jessica was singing a song.
Eksperimentas buvo sėkmingas.	The experiment was successful.
Esu studentė.	I'm a university student.
Gal jie nepastebės, kad Tomo čia nėra.	They might not notice that Tom isn't here.
Gavau velnių nuo mokytojo.	I was scolded by my teacher.
Grįžkim į viešbutį.	Let's go back to the hotel.
Gyvenime yra svarbesnių dalykų.	There are more important things in life.
Iš pradžių buvome visiškai nepažįstami. Bet bėgant laikui mes susipažinome.	At first, we weren't familiar at all. Over time we got to know each other.
Japonija man daro labai didelį įspūdį, aš jaučiu didelę pagarbą Japonijos gyventojams.	Japan impresses me very much and I feel profound respect for the Japanese people.
Jeigu nežinai kelio, tada paklausk policininko.	If you don't know the way, ask a policeman.
Ji aplankė savo vyrą kalėjime.	She visited her husband in prison.
Jie buvo pasodinti į kalėjimą.	They were put in prison.
Jie dirba aštuonias valandas per dieną.	They work eight hours a day.
Jie mane pakvietė žaisti kortomis.	They invited me to play cards.
Jie tavęs laukia prie ilgo balto namo.	They are waiting for you next to the long white house.
Ji mylės savo vyrą amžinai.	She'll love her husband forever.
Ji nerimauja dėl tavo saugumo.	She's worried about your safety.
Ji pagimdė sveiką kūdikį.	She gave birth to a healthy baby.
Ji parašė knygą apie žmones ji aplankė.	She wrote the book about people she visited.
Jis dainavo dainą.	He sung a song.
Jis didžiuojasi savo šeima.	He is proud of his family.
Jis dirba aštuonias valandas per dieną.	He works eight hours every day.
Jis dirba kiekvieną dieną po aštuonias valandas.	He works eight hours every day.
Jis išjungė šviesą.	He turned off the light.
Jis išvažiavo mėnesiui.	He left for a month.
Jis išvažiavo vienam mėnesiui.	He left for a month.
Jis kentėjo nuo sunkaus galvos skausmo.	He was suffering from a bad headache.
Jis mėgsta valgyti salotas su mėsa.	He likes to eat salad with meat.
Jis nusivedė šeimą į zoologijos sodą.	Tom took his family to the zoo.
Jis nusprendė tapti gydytoju.	He made up his mind to be a doctor.
Jis nustojo žaisti beisbolą praeitą sezoną.	He stopped playing baseball last season.
Jis turi du automobilius.	He has two cars.
Jis užaugo mažame miestelyje.	He grew up in a small town.
Ji turėjo laimingą vaikystę.	She had a happy childhood.
Ji užaugino penkis vaikus.	She has brought up five children.
Ji užaugo mažame miestelyje.	She grew up in a small town.
Jos mane pakvietė žaisti kortomis.	They invited me to play cards.
Jo žodžiai išsipildė.	His words have come true.
Ką jis rašo laiške?	What does he say in his letter?
Kalno viršūnėje buvo bokštas.	There was a tower on the top of the mountain.
Karas nutraukė jų tyrimą.	The war brought their research to an end.
Karvės mums duoda pieną.	Cows give us milk.
Kas suvalgė visus sausainius?	Who ate all the cookies?
Katė yra po stalu.	The cat is under the table.
Ką tu padarei su mano akiniais?	What did you do with my glasses?
Kelkis anksti, kitaip pavėluosi į mokyklą.	Get up early, else you'll be late for school.
Kenas ir jo brolis yra labai panašūs.	Ken and his brother are very much alike.
Kenas man skambina kiekvieną dieną.	Ken calls me every day.
Kenas paklausė apie jo tėvą.	Ken inquired about his father.
Kodėl nesiklausai jo patarimo?	Why don't you listen to his advice?
Kodėl niekas nevalgo mano bulvių?	Why does nobody eat my potatoes?
Kodėl tu nusipirkai gėlių?	Why did you buy flowers?
Kojinės negerai kvepia.	The socks smell bad.
Kokį Tomas turi fotoaparatą?	What kind of camera does Tom own?
Koks geras teniso žaidėjas Tonis yra!	What a good tennis player Tony is!
Liūtas yra džiunglių karalius.	The lion is the king of the jungle.
Maikas turi kelis draugus Floridoje.	Mike has a couple of friends in Florida.
Maistas yra pigus Vokietijoje.	Food is cheap in Germany.
Mano senelis negali vaikščioti be savo lazdos.	My grandfather can't walk without his cane.
Mano teta užaugino penkis vaikus.	My aunt brought up five children.
Mano tėvas leido man eiti maudytis.	My father allowed me to go swimming.
Mano tėvas nevalgo daug vaisių.	My father does not eat much fruit.
Man patinka šokoladas.	I like chocolate.
Mėnulyje nėra oro.	There's no air on the moon.
Merė mano kad Oliveris yra vis dar per jaunas turėti merginą.	Mary thinks that Oliver is still too young to have a girlfriend.
Mes einame į turgų.	We are going to the market.
Mes negalime pasodinti jauną berniuką į kalėjimą.	We can't put a young boy in prison.
Mes tikime Dievu.	We believe in God.
Ne gyvenimui, bet mokyklai mokomės.	Not for life, but for school do we learn.
Nenoriu valyti šunų šūdo.	I don't wanna clean up dog shit.
Nesitikėk, kad kiti galvos už tave!	Don't expect others to think for you!
Ne visi žmonės yra pikti velniai.	Not all people are evil devils.
Niekada neatidaryk jam durų.	Never open the door for him.
Niekada nemačiau raudono šaldytuvo.	I never saw a red fridge.
Niujorke yra daug japonų restoranų.	There are many Japanese restaurants in New York.
Nupirkau du butelius pieno.	I bought two bottles of milk.
Padėkite bagažą kur nors.	Put the luggage somewhere.
Padėk pomidorų salotas į šaldytuvą.	Put the tomato salad in the refrigerator.
Pagaliau sužinojome tiesą.	Finally we have learned the truth.
Paklausk jo, kada išskrenda sekantis lėktuvas.	Ask him when the next plane leaves.
Papasakok man savo įvykių versiją.	Tell me your version of the events.
Pasakojimas buvo labai įdomus.	The story was very interesting.
Paskubėk, kitaip pavėluosi į traukinį.	Hurry up, or you will miss the train.
Paskubėk, nes pavėluosi į savo lėktuvą.	Hurry up, or you'll miss your plane.
Paskubėk. Pavėluosi į mokyklą.	Hurry up. You'll be late for school.
Pažado nepakanka.	A promise is not enough.
Per klaidą įėjau į kažkieno kito kambarį.	I entered someone else's room by mistake.
Plaukioti šioje upėje yra pavojinga.	It's dangerous to swim in this river.
Policija apsupo pastatą.	The police have surrounded the building.
Puodelis yra ant stalo.	The cup is on the table.
Radome slaptą įėjimą į pastatą.	We found a secret passage into the building.
Šiame pasaulyje yra dalykų kurie tiesiog negali būti išreikšti žodžiais.	There are things in this world which simply cannot be expressed in the form of words.
Šį namą pastatė garsus architektas.	A famous architect built this house.
Šioje upėje plaukioti yra pavojinga.	That river is dangerous to swim in.
Šis automobilis buvo pagamintas Japonijoje.	This car was made in Japan.
Šis kiaušinis negerai kvepia.	This egg has a bad smell.
Šis maišas nėra mažas.	This bag is not small.
Šis šokoladas yra labai saldus ir skanus.	This chocolate is very sweet and tasty.
Šis stalas yra man truputį per žemas.	This desk is a little too low for me.
Šiuo metu Tomas moko anglų kalbos Japonijoje.	Tom currently teaches English in Japan.
Tai nėra tavo puodelis.	That's not your cup.
Tai yra aukščiausias bokštas Japonijoje.	This is the tallest tower in Japan.
Tai yra paskutinis kartas kai aš priimsiu dovaną.	This is the last time I'll accept a gift.
Tai yra paskutinis perspėjimas.	This is the last warning.
Ta moteris kalba ispaniškai.	The woman speaks Spanish.
Tas vyras tą sakė kai aš įėjau.	The man was saying it when I came in.
Tau trūksta vaizduotės.	You lack imagination.
Tau yra pavojinga plaukioti šioje upėje.	It is dangerous for you to swim in this river.
Tavo katinas nenori nulipti nuo mano stalo.	Your cat doesn't want to climb off my desk.
Tavo puodelis stovi ant stalo.	Your cup is on the table.
Tavo svajonės išsipildė.	Your dreams have come true.
Telefonas kątik skambėjo, ar ne?	The telephone was just ringing, wasn't it?
Tenai yra veidrodis.	There's a mirror.
Tėvai tikėjosi per daug iš savo sūnaus.	The parents expected too much of their son.
Tomas įrodė kad tai veikia.	Tom has proved that it works.
Tomas išsiaiškins tai.	Tom will get it figured out.
Tomas negyvena su savo tėvais.	Tom doesn't live with his parents.
Tomas nevalgo daug mėsos.	Tom doesn't eat much meat.
Tomas su Merė nuėjo į muziejų.	Tom went with Mary to the museum.
Tomas sumokėjo daug pinigų už šią gitarą.	Tom paid a lot of money for that guitar.
Tomas užaugino savo sūnų be jokios pagalbos.	Tom raised his son without any help.
Tomas yra magas.	Tom is a magician.
Tomas žino viską ką tik galima žinoti apie automobilius.	Tom knows everything there is to know about cars.
Tu pavėluosi į traukinį.	You will miss the train.
Tu turi laikytis savo pažado.	You must keep your promise.
Vaiduokliai egzistuoja.	Ghosts exist.
Visi arkliai yra gyvūnai, tačiau ne visi gyvūnai yra arkliai.	All horses are animals, but not all animals are horses.
Visi komiteto nariai nekenčia vienas kito.	All the members of the committee hate one another.
Žemė atrodo šlapia.	The ground seems wet.
Žmogaus kaukolę sudaro 23 kaulai.	The human skull consists of 23 bones.
Žmonės Mėnulyje buvo daug kieno svajonė.	Having people on the moon has been a dream for many.
Žmonės negyvena amžinai.	People don't live forever.
Ana dažnai žaidžia tenisą po pamokų.	Ann often plays tennis after school.
Ant mamos kilimo miega tris šunys.	There are three dogs sleeping on mum's carpet.
Aplink namą yra tvora.	There is a fence around the house.
Ar dvejų metų berniukas gali bėgti taip greitai?	Can a two-year-old boy run that fast?
Ar egzaminas bus sunkus?	Will it be a difficult exam?
Ar gali man pasakyti kaip naudotis šia skalbimo mašina?	Could you tell me how to use this washing machine?
Ar gerai žaidi krepšinį?	Do you play basketball well?
Ar Jums padėti panešti šią dėžę?	Shall I help you with this box?
Ar jūs mylite savo mamą?	Do you love your mother?
Ar jūs mylite savo motiną?	Do you love your mother?
Ar jūs mylite savo šalį?	Do you love your country?
Ar jūs žinote, ką vilkėjo Tomas?	Do you know what Tom was wearing?
Ar tai bus sunkus egzaminas?	Will it be a difficult exam?
Ar tu turi dirbti sekmadieniais?	Do you need to work on Sunday?
Ar tu žaidi šachmatais?	Do you play chess?
Ar tu žinai, ką vilkėjo Tomas?	Do you know what Tom was wearing?
Aš atsikėliau šeštą ryto.	I got up at six this morning.
Aš daviau šunims šiek tiek vandens.	I gave some water to the dogs.
Aš daviau Tomui antklodę.	I gave Tom a blanket.
Aš dažnai žaidžiu tenisą po pamokų.	I often play tennis after school.
Aš einu miegoti dešimtą beveik kiekvieną dieną.	I go to bed at ten almost every day.
Aš esu mechanikas.	I am a mechanic.
Aš galvojau, kad šiandien pirmadienis.	I thought it was Monday today.
Aš gimiau Rusijoje.	I was born in Russia.
Aš mėgstu kates.	I love cats.
Aš mėgstu žaisti krepšinį.	I like playing basketball.
Aš mėgstu žiūrėti krepšinį.	I love watching basketball.
Aš nedirbu sekmadieniais.	I don't work on Sunday.
Aš negaliu pakabinti paveikslo savo biure. Tai yra draudžiama.	I cannot hang a picture in my office. It's forbidden.
Aš negaliu pakęsti žalios žuvies.	I can't stand raw fish.
Aš negaliu prisiminti kur paslėpiau savo pinigus.	I can't remember where I hid my money.
Aš negaliu rasti savo akinių.	I can't find my glasses.
Aš nemėgstu baisių filmų.	I don't like scary movies.
Aš neturiu jūsų adreso.	I don't have your address.
Aš neturiu tavo adreso.	I don't have your address.
Aš nežinau jo adreso.	I don't know his address.
Aš noriu būti gamtos fotografas.	I want to be a nature photographer.
Aš nukritau nuo kopėčių.	I fell off the ladder.
Aš nusprendžiau tapti advokatu.	I decided to be a lawyer.
Aš pagaliau susiradau darbą.	Finally, I found a job.
Aš pamiršau nusipirkti vieną pagalvę.	I forgot to buy one pillow.
Aš pradėjau mokytis anglų kalbos prieš šešerius metus.	I started learning English six years ago.
Aš šiandien pati pagaminsiu sau salotų.	Today, I'll make some salad for myself on my own.
Aš sutikau su šiuo pasiūlymu.	I agreed to the proposal.
Aš tau parodysiu savo albumą.	I'll show my album to you.
Aš ten skrisiu lėktuvu.	I will go there by plane.
Aš turiu dvi kates.	I have two cats.
Aš verkiau visą naktį.	I cried all night long.
Aš žinau kad Maikas mėgsta krepšinį.	I know that Mike likes basketball.
Ateik čia, Jonai.	Come here, John.
Atrodo kad Dženė turi naują vaikiną.	Jane seems to have a new boyfriend.
Daktaras jam patarė mesti rūkyti.	The doctor advised him to give up smoking.
Daktaras jam patarė nustoti taip daug dirbti.	The doctor advised him to stop working too much.
Daktaras patarė jai likti namie.	The doctor advised that she stay at home.
Daktarė jam patarė mesti rūkyti.	The doctor advised him to give up smoking.
Daktarė jam patarė nustoti taip daug dirbti.	The doctor advised him to stop working too much.
Daktarė patarė jai likti namie.	The doctor advised that she stay at home.
Daug jaunų ispanų neturi darbo.	Many young people in Spain are unemployed.
Dievas sukūrė visatą.	God created the universe.
Džeinė mėgsta kates labiau nei šunis.	Jane likes dogs better than cats.
Dženė pasakė kad buvo laikas eiti namo.	Jane said that it was time to go home.
Ei pone, jūs pamiršote savo paltą!	Hey mister, you forgot your coat!
Fotografas paėmė mano namo nuotrauką.	A photographer took a photograph of my house.
Iš ko tu išgirdai šias naujienas?	Who did you hear this news from?
Jam patinka žaisti tenisą.	He enjoys playing tennis.
Jam reikia akinių.	He needs glasses.
Jam reikia kopėčių.	He needs a ladder.
Jeigu norite, aš išmokysiu jus žaisti šachmatais.	If you like, I will teach you to play chess.
Jei ne oras ir vanduo, mes negalėtume gyventi.	If it were not for air and water, we could not live.
Jei tu nemėgsti šito kilimo, tada atiduok jį jam.	If you don't like this carpet, then give it away to him.
Jei turėsite kokių nors sunkumų, kreipkitės į mane pagalbos.	If you have any difficulty, ask me for help.
Ji anksčiau žaidė krepšinį.	She used to play basketball.
Ji atvėrė duris.	She opened the door.
Ji daro pačius geriausius sumuštinius pasaulyje.	She makes the best sandwiches in the world.
Ji dažnai kalbėjo apie mūsų prakeiksmą.	She often spoke about our curse.
Jie jau turi tris kates, jiems dar viena nėra reikalinga.	They already have three cats, they don't need another one.
Jiem nesisekė rasti tos vietos.	They had trouble finding the place.
Jie nekelia grėsmės.	They're not a threat.
Jie turi tik vieną antklodę.	They have only one blanket.
Ji grojo gitara, o jis dainavo.	She played the guitar and he sang.
Ji mėgsta šias kates.	She likes these cats.
Ji rytais žaidžia tenisą.	She plays tennis in the morning.
Jis atsakys už savo nusikaltimus.	He will answer for his crimes.
Jis buvo apkaltintas žmogžudyste.	He was accused of murder.
Jis buvo visiškai tylus per visą konferenciją.	He stayed absolutely silent throughout the conference.
Ji serga nuo praeitos savaitės.	She has been sick since last week.
Jis gerai žaidžia krepšinį.	He is good at basketball.
Jis grįžo po dvejų dienų.	He came back two days after.
Jis išvyko į konferenciją.	He went to the conference.
Jis man nupirko labai greitą automobilį.	He bought me a very fast car.
Jis mirė po dvejų valandų.	He died two hours later.
Jis moka žaisti ir tenisą ir beisbolą.	He can play both tennis and baseball.
Jis nesutiko su mano pasiūlymu.	He didn't agree to my proposal.
Jis neturi draugų, kurie jam galėtų patarti.	He has no friends to advise him.
Jis nevalgo žalios žuvies.	He doesn't eat raw fish.
Jis nori vykti į Jungtines Valstijas.	He wants to go to the United States.
Jis paliko savo tėvus kai jam buvo aštuoneri.	He left his parents when he was eight years old.
Jis parašė knygą apie Kiniją.	He wrote a book about China.
Jis pažiūrėjo pro langą.	He looked through the window.
Jis reikalavo didesnio atlyginimo.	He demanded better pay.
Jis retai lieka namie sekmadieniais.	He rarely stays home on Sunday.
Jis sutiko su mūsų pasiūlymu.	He accepted our offer.
Jis turi vieną šunį ir šešias kates.	He has one dog and six cats.
Jis vis kartoja tą pačią klaidą.	He keeps making the same mistake.
Jis yra Anglas.	He is English.
Jis žino, kaip žaisti pokerį.	He knows how to play poker.
Ji trenkė durimis.	She slammed the door shut.
Ji turėjo moters galvą, liūto kūną, paukščio sparnus ir gyvatės uodegą.	It had the head of a woman, the body of a lion, the wings of a bird, and the tail of a serpent.
Ji žaidė krepšinį.	She played basketball.
Ji žaidžia tenisą kiekvieną sekmadienį.	She plays tennis every Sunday.
Jo automobilis buvo rimtai sugadintas.	His car was seriously damaged.
Jo daktaras jam patarė mesti rūkyti.	His doctor advised him to give up smoking.
Jo daktarė jam patarė mesti rūkyti.	His doctor advised him to give up smoking.
Jo elgesys sukėlė man įtarimų.	His behavior aroused my suspicions.
Jo megztinis yra pilkas.	His sweater is gray.
Jo širdis sudaužyta.	His heart is broken.
Kai atėjau namo, mano sesuo grojo gitara.	When I came home, my sister was playing the guitar.
Kai jis pamatė policininką, jis pabėgo.	When he saw the police officer, he ran away.
Kaip tu išgirdai žinias?	How did you hear the news?
Kančia yra žmogaus likimas.	It is man's destiny to suffer.
Karvės yra fermoje.	The cows are on the farm.
Kava yra karti.	The coffee is bitter.
Kažkas yra ne taip su šia skalbimo mašina.	Something is wrong with this washing machine.
Kinų filosofija yra pati geriausia.	Chinese philosophy is the best.
Kokio nori sumuštinio?	What kind of sandwich do you want?
