Tai viskas.	That is all.
Ji man iškepė pyragą.	She baked me a cake.
Ji moka kalbėti japoniškai.	She can speak Japanese.
Ji ne dainininkė, o aktorė.	She is not a singer, but an actress.
Ji neprisimena ar jo automobilis buvo geltonas ar ne.	She doesn't remember if his car was yellow or not.
Ji norėjo būti dainininkė.	She wanted to be a singer.
Ji norėjo grįžti namo, bet pasiklydo.	She wanted to return home, but she got lost.
Ji nori būti dainininkė.	She wants to be a singer.
Ji pakankamai suaugusi keliauti pati.	She is old enough to travel by herself.
Ji pakankamai suaugusi keliauti savarankiškai.	She is old enough to travel by herself.
Jis atidaro langą.	He is opening the window.
Jis buvo Indijoje.	He has been to India.
Jis maldavo manęs likti.	He begged me to stay.
Jis mane įžeidė be jokios priežasties.	He insulted me without any reason.
Jis man pažadėjo kad jis bus atsargesnis ateityje.	He promised me that he would be more careful in the future.
Jis metė akmenį į ežerą.	He threw a stone into the lake.
Jis mirė nuo skrandžio vėžio.	He died of cancer of the stomach.
Jis padėjo knygą ant lentynos.	He put the book on the shelf.
Jis papasakojo vaikams apie savo nuotykius Afrikoje.	He told the children about his adventures in Africa.
Jis prarado regėjimą.	He lost his eyesight.
Jis žaidžia golfą kiekvieną sekmadienį.	He plays golf every Sunday.
Jis žais golfą kitą sekmadienį.	He will play golf next Sunday.
Ji turi ir trūkumų.	She has faults, too.
Ji uždaro duris.	She closes the door.
Ji yra dainininkė.	She is a singer.
Jo kostiumas buvo pilkas o jo kaklaraištis geltonas.	His suit was gray and his tie was yellow.
Jos dukra iškepė mėsą.	Her daughter fried the meat.
Jos katinas gulėjo ant mano pagalvės ir nenorėjo nulipti.	Her cat was lying on my pillow and didn't want to come off it.
Jo tėvai buvo patenkinti jo sėkme.	His parents were pleased with his success.
Jungtinėse Valstijose įstatymai skiriasi tarp valstijų.	Laws differ from state to state in the United States.
Jungtinėse Valstijose yra penkiasdešimt valstijų.	There are fifty states in the United States.
Jūsų atsakymas yra klaidingas.	Your answer is wrong.
Jūsų kilimas yra visiškai baltas.	Your carpet is completely white.
Kada tu susipažinai su Tomu?	When did you get to know Tom?
Kada vedei?	When did you get married?
Kaip šis gyvūnas vadinasi Japoniškai?	What is this animal called in Japanese?
Kaip tą pasakyti Itališkai?	How do you say that in Italian?
Kam reikalingi tie seni baldai?	Who needs that old furniture?
Karas nėra neišvengiamas.	The war is not inevitable.
Kas gali sau leisti nusipirkti tokį brangų namą?	Who can afford to buy such an expensive house?
Kažkas jiems atnešė naują kilimą.	Somebody brought them a new carpet.
Kiek kainuoja kambario nuoma?	How much is the rent for this room?
Kiek laiko kiekvieną dieną vidutinis paauglys žiūri televizorių?	How much time does the average teenager watch TV every day?
Kodėl tu atsisakei jo pasiūlymo?	Why did you turn down his offer?
Kodėl tu tada sustojai?	Why did you stop then?
Kokia yra graikijos sostinė?	What is the capital of Greece?
Koks yra šio tilto ilgis?	How long is this bridge?
Kūno temperatūra yra aukščiausia vidurdienį.	Body temperature is highest in the afternoon.
Kur mano kitas batas?	Where's my other shoe?
Kur parašytas mano vardas?	Where is my name written?
Laivas prarastas.	The boat is lost.
Laivas skęsta.	The ship is sinking.
Lėktuvas nuskrido į rytus.	The plane flew east.
Lėktuvas skrenda virš debesų.	The plane is flying above the clouds.
Lėktuvas skrido virš debesų.	The plane flew above the clouds.
Lijo.	It was raining.
Lijo lietus.	It was raining.
Londonos yra jo mylimiausias miestas.	London is the city he loves the most.
Mano albumas yra čia.	My album is here.
Mano tėvas neleido man mokytis Jungtinėse Valstijose.	My father didn't allow me to study in the USA.
Mano tėvas niekada nebuvo užsienyje.	My father has never been abroad.
Mano tėvas paliko man didelį palikimą.	My father left me a large inheritance.
Man reikia įkvėpimo.	I need inspiration.
Meilė - kaip deguonis.	Love is like oxygen.
Meksikos sostinė yra didžiausias miestas Lotynų Amerikoje.	The capital of Mexico is the largest city in Latin America.
Mėnulyje nėra atmosferos.	The moon has no atmosphere.
Mergaitė valgo duoną.	The girl is eating bread.
Mes kalbame japoniškai.	We speak Japanese.
Mes sutarėme toliau tęsti derybas.	We have agreed to continue the negotiations.
Mes sutinkame.	We agree.
Mes su Tomu neturime jokių paslapčių vienas nuo kito.	Tom and I have no secrets from each other.
Mokiniai išbėgo pro duris.	The students ran out through the door.
Mokytoja davė jam auksinį laikrodį.	He was given a gold watch by the teacher.
Mokytojas davė jam auksinį laikrodį.	He was given a gold watch by the teacher.
Mokytojas mus perspėjo, kad egzaminas tikriausiai bus sunkus.	The teacher warned us that the exam would probably be complicated.
Moteris valgo duoną.	The woman is eating bread.
Mūsų lėktuvas skrido virš debesų.	Our plane was flying above the clouds.
Nagi! Mes pavėluosime.	Come on! We're going to be late.
Nagi, pažaisk su manim, man taip nuobodu!	Come on, play with me, I'm so bored!
Nebėk, eik lėtai.	Don't run, walk slowly.
Nebesu pavargęs.	I am no longer tired.
Nebesu pavargusi.	I am no longer tired.
Nebijokite naujų pažinčių.	Don't be scared to meet new people.
Negaliu palikti šio dokumento čia su tavimi.	I can't leave that document here with you.
Nevadink Tomo idiotu.	Don't call Tom an idiot.
Nors ir ką tu sakytum, vis tiek tavimi niekas nepatikės.	Whatever you may say, you won't be believed.
Nors ji ir bėgo taip greitai, kaip tik galėjo, į autobusą vis tiek nespėjo.	Running as fast as she could, she still failed to catch the bus.
Nors jis ir gyvena Jungtinėse Valstijose, Tomas nemoka kalbėti angliškai.	Even though he lives in the United States, Tom can't speak English.
Nusprendžiau būti laiminga, nes tai gerai mano sveikatai.	I decided to be happy because it's good for my health.
Nusprendžiau būti laimingas, nes tai gerai mano sveikatai.	I decided to be happy because it's good for my health.
Padėk tą knygą atgal ant lentynos.	Put the book back on the shelf.
Palikime ją vieną.	Let's leave her alone.
Palik mano namus ir niekada negrįžk.	Leave my house and never return.
Pamatę kas vyksta, mes nusprendėme išeiti.	Upon seeing what was happening, we decided to leave.
Pamenu tą naktį, kai aš pirmą kartą pamačiau Paukščių Taką.	I remember the night when I first saw the Milky Way.
Pasakyk man kurią duoną tu nori valgyti.	Tell me which bread you want to eat.
Pasikliauk manimi.	Count on me.
Pažiūrėk į save veidrodyje.	Look at yourself in the mirror.
Pažiūrėk į tuos dūmus.	Look at that smoke.
Pilka katė negali nulipti nuo medžio.	The grey cat can't climb off the tree.
Po jo lova slepiasi daug juodų kačių.	There are many black cats hiding under the bed.
Policija pasodins tave į kalėjimą.	The police will put you in prison.
Ponas Braunas labai gerai kalba japoniškai.	Mr Brown speaks Japanese very well.
Ponia Braun supranta Japonų kalbą.	Mrs. Brown understands Japanese.
Privalai likti budrus.	You need to stay alert.
Rykliai ėda žuvis.	Sharks eat fish.
Šachas ir matas!	Checkmate!
Ši istorija neatitinka faktų.	The story doesn't match the facts.
Šis kilimas yra labai ilgas.	This carpet is very long.
Šis stalas pagamintas iš medienos.	This desk is made of wood.
Sunaikink šią šventyklą.	Destroy this temple.
Tai nauja fotografija?	Is it a recent picture?
Tau reikia nustoti švaistyti laiką.	You need to stop wasting time.
Tigras yra didesnis ir stipresnis už katiną.	A tiger is larger and stronger than a cat.
Tomas kelis kartus paprašė Merės atidaryti langą.	Tom asked Mary several times to open the window.
Tomas man pasakė, jog nenori grįžti namo tuščiomis rankomis.	Tom told me that he didn't want to come home empty-handed.
Tomas nežino Merės batų dydžio.	Tom doesn't know what Mary's shoe size is.
Tomas nežino skirtumo tarp Irako ir Irano.	Tom doesn't know the difference between Iraq and Iran.
Tomas nusipirko labai brangų fotoaparatą.	Tom bought a very expensive camera.
Tomas pajudėjo Merės link.	Tom moved toward Mary.
Tomas paklausė Merės kokią ji mėgsta muziką.	Tom asked Mary what kind of music she liked.
Tomas paklausė Merės kokį ji mėgsta maistą.	Tom asked Mary what kind of food she liked.
Tomas paklausė Merės kokius ji mėgsta filmus.	Tom asked Mary what kind of movies she liked.
Tomas paprašė Merės nusiraminti.	Tom asked Mary to quiet down.
Tomas paprašė Merės pagalbos.	Tom asked Mary for help.
Tomas paprašė Merės pinigų.	Tom asked Mary for money.
Tomas pasirašė visus dokumentus, kuriuos jam davė Merės advokatas.	Tom signed all the documents Mary's lawyer gave him.
Tomas susipažino su Merės draugais.	Tom got to know Mary's friends.
Tomas yra geriausias darbininkas kokį tik turėjome.	Tom is the best employee we've ever had.
Tomui nederėjo vogti Merės pinigų.	Tom shouldn't have stolen Mary's money.
Tu esi gera virėja.	You are a good cook.
Tu galėjai suskaičiuoti iki dešimties kai tau buvo dveji.	You could count to ten when you were two years old.
Tu suvalgei mano sumuštinį.	You ate my sandwich.
Užsienio kalbų žinojimas naudingas kiekvienam.	Knowledge of foreign languages is useful for everyone.
Vakar pirmą kartą kalbėjau su Tomu prancūziškai.	Yesterday was the first time I had spoken to Tom in French.
Vakar ryte stipriai lijo.	It rained hard yesterday morning.
Vakar visą dieną gulėjau lovoje.	I was in bed all day long yesterday.
Valgyk duoną!	Eat the bread!
Visą dieną sunkiai lijo.	It rained heavily all day.
Visą praeitą savaitę lijo.	It rained all last week.
Vis trūksta trijų asmenų.	Three people are still missing.
Yra didelė tikimybė, kad jis nugalės.	There is a good chance that he will win.
Žemės Mėnulis yra natūralus palydovas.	The earth's moon is a natural satellite.
Žinok savo šaknis.	Know your roots.
Akmuo, popierius, žirklės.	Rock, paper, scissors.
Alisa nusišypsojo.	Alice smiled.
Ar galite man duoti nuolaidą?	Can you give me a discount?
Ar judu keliaujate kartu?	Are you two traveling together?
Ar jūs žaidžiate šachmatais?	Do you play chess?
Ar kada nors matėte Tokijo bokštą?	Have you ever seen Tokyo Tower?
Ar mums užtenka kėdžių?	Do we have enough chairs?
Ar tu gali įlipti į tą medį?	Can you climb up that tree?
Ar turi tvarkaraštį?	Do you have the schedule?
Aš esu airis.	I'm Irish.
Aš galėjau suklysti.	I might've been wrong.
Aš girdėjau kad jis išlaikė egzaminą.	I heard that he passed the exam.
Aš iškart jo nemėgau, bet dabar mėgstu.	At first I did not like him, but now I do.
Aš išvirsiu tau bulves.	I'll boil the potatoes for you.
Aš matau baltą liūtą.	I see a white lion.
Aš mokausi turkų kalbos.	I am learning Turkish.
Aš negaliu grįžti atgal į Australiją. Ten manęs ieško policija.	I can't go back to Australia. I'm wanted by the police there.
Aš negaliu rasti savo bagažo.	I can't find my luggage.
Aš nenoriu tavęs sužaloti, Tomai.	I don't want to hurt you, Tom.
Aš nesigailiu, kad sutikau tave.	I do not regret meeting you.
Aš nesu pratęs anksti keltis.	I'm not used to getting up early.
Aš nežinau nieko apie bulves.	I don't know anything about potatoes.
Aš padovanosiu jai gėlių.	I'll give her some flowers.
Aš rašau sakinį vokiškai.	I'm writing a sentence in German.
Aš svarstau, kada nusipirkti kompiuterį.	I'm wondering when to buy a computer.
Aš turiu dvi dukras ir du sūnus.	I have two daughters and two sons.
Atleiskite, kad sukėliau jums tiek rūpesčių.	I am sorry that I have troubled you so much.
Atleisk, kad sukėliau tau tiek rūpesčių.	I am sorry that I have troubled you so much.
At turime užtektinai kėdžių?	Do we have enough chairs?
Bendrai, ekskursija buvo maloni.	All in all, the excursion was pleasant.
Bendrai kalbant, moterys gyvena ilgiau nei vyrai.	Generally speaking, women live longer than men.
Dangus yra mėlynas, jūra irgi yra mėlyna. Dangus ir jūra yra mėlyni.	The sky is blue, the sea is also blue. The sky and the sea are blue.
Durys atsidarė automatiškai.	The door opened automatically.
Durys lėtai atsidarė.	The door opened slowly.
Du vyrai kaltino vienas kitą.	The two men accused each other.
Gyvenimas yra kaip didelis greitkelis.	Life is like a big highway.
Italija - tai ne Graikija.	Italy isn't Greece.
Italija yra labai graži šalis.	Italy is a very beautiful country.
Jeigu jį pakviesi, jis greičiausiai ateis.	If you invite him, he'll probably come.
Jeigu jį pakviesi, jis tikriausiai ateis.	If you invite him, he'll probably come.
Jeigu tu nenori ten eiti, tada mes ten neisime.	If you don't want to go there, then we won't go there.
Jei pamatysi klaidą, tada prašau pataisyk ją.	If you see a mistake, then please correct it.
Ji atmetė mano prašymą.	She turned down my request.
Ji atmetė mūsų pasiūlymą.	She turned down our proposal.
Jie abudu priėjo prie lango pažiūrėti laukan.	Both of them went to the window to look outside.
Jie plauna rankas.	They're washing their hands.
Ji kalba trimis kalbomis.	She can speak three languages.
Ji mane nustebino.	She surprised me.
Ji pabučiavo jį į skruostą.	She kissed him on the cheek.
Ji paėmė savo pieštuką ir pradėjo rašyti.	She took her pencil and started to write.
Ji paguldė savo galvą ant pagalvės.	She laid her head down on the pillow.
Ji palaidojo savo vienintelį sūnų.	She has buried her only son.
Jis apsimetė mano draugu.	He pretended to be my friend.
Jis augino bulves savo sode.	He grew potatoes in his garden.
Jis baigė gerti alų ir užsisakė dar vieną.	He finished drinking one beer and ordered another.
Jis ėmė plauti savo mašiną.	He started washing his car.
Jis pabučiavo ją į skruostą.	He kissed her on the cheek.
Jis paguldė savo galvą ant pagalvės.	He laid his head on the pillow.
Jis pasislėpė už juodo automobilio.	He hid behind the black car.
Jis plauna savo automobilį bent kartą per savaitę.	He washes his car at least once a week.
Jis sutvarkė savo kambarį sekmadienį.	He cleaned his room on Sunday.
Jis turi dvi dukras.	He has two daughters.
Jis visada dovanoja dovanas savo žmonai.	He is always giving presents to his wife.
Jis žino kaip šokti tango.	He knows how to dance the tango.
Ji tai pažodžiui išvertė.	She translated it word for word.
Jos plauna savo rankas.	They wash their hands.
Jo sūnus pradingo prieš septynerius metus.	His son disappeared seven years ago.
Jo žodžiai mane nustebino.	His words surprised me.
Jūreivis daugiausia laiko praleidžia jūroje.	A sailor is at sea much of the time.
Jūreivis daug laiko praleidžia jūroje.	A sailor is at sea much of the time.
Jūs galite sedėti kur tik norite.	You may sit wherever you like.
Kačiukas nori miego.	The kitten wants to sleep.
Kada tu gavai telegramą?	When did you receive the telegram?
Kai jie yra pavojuje, jie pabėga.	When they are in danger, they run away.
Kaip aš tavęs ilgėjausi!	How I've missed you!
Kaip jūs patekote į pastatą?	How did you get into the building?
Kartais svajonės išsipildo.	Dreams sometimes come true.
Kas atsitiks, jei paspausiu šį mygtuką?	What happens if I press this button?
Kas bus, jeigu paspausiu šį mygtuką?	What happens if I press this button?
Kas nori būti milijonierius?	Who wants to be a millionaire?
Kas per idiotų gauja!	What a bunch of idiots!
Katytė bando pasislėpti nuo lietaus.	The kitty is trying to hide from the rain.
Keli iškėlė reikalą į dienos šviesą.	Kelly brought the matter to light.
Kitame gatvės gale yra vaikų darželis.	There is a kindergarten at the other end of the street.
Kodėl taip lengvai pasiduodi?	Why are you giving up so easily?
Kokia negraži katė.	What an ugly cat.
Kokiu maistu aš turėčiau maitinti savo šunį?	What kind of food should I be feeding my dog?
Koks jūsų mėgstamiausias valgis?	What's your favourite food?
Koks tavo mėgstamiausias valgis?	What's your favourite food?
Koncertas prasideda septintą. Mums negalima pavėluoti.	The concert starts at seven. We must not be late.
Konferencija pasibaigs rytoj.	The conference will end tomorrow.
Kuo noretum tapti ateityje?	What do you want to be in the future?
Kurias knygas tu pamiršai atsinešti su savimi?	Which books did you forget to bring with yourself?
Kuri iš šių dvejų yra geroji?	Which one of these two is the good one?
Kur sausainiai?	Where are the cookies?
Laikas iš čia varyti.	Time to get the hell out of here.
Laikas negali būti sustabdytas.	Time cannot be stopped.
Laikas varyti iš čia.	Time to get the hell out of here.
Laikyk pinigus saugioje vietoje.	Keep the money in a safe place.
Laikyk savo žirgus, jaunuoli.	Hold your horses, young man.
Lempa yra pilka.	The lamp is grey.
Liza apsimetė, kad negirdi.	Lisa pretended not to hear.
Mano dviratis buvo pavogtas.	I had my bicycle stolen.
Mano dviratis sulūžo, todėl teko eiti pėsčiomis.	My bicycle broke, so I had to walk.
Mano katė bėgioja po kambarį.	My cat is running around the room.
Mano mama nupirko du butelius apelsinų sulčių.	My mother bought two bottles of orange juice.
Mano tėvas mirė kai man buvo septyneri.	My father died when I was seven years old.
Man reikės patikrinti savo tvarkaraštį.	I'll need to check my schedule.
Man viskas aišku, lyg būtų įvykę vakar.	It is as clear to me as if it were yesterday.
Matau liūtą.	I see a lion.
Mes abudu norime pamatyti tą filmą.	Both of us want to see the movie.
Mes esame atsakingi už nuostolius.	We carry the responsibility for the losses.
Mes ilgai laukėm parke.	We waited in the park for a long time.
Mes skrendame virš debesų.	We are flying above the clouds.
Mes turime iš čia varyti.	We have to get the hell out of here.
Mes turime pagauti tą liūtą gyvą.	We've got to catch the lion alive.
Mes vakar žaidėme krepšinį.	We played basketball yesterday.
Mūsų pasaulis tėra maža visatos dalelė.	Our world is only one small part of the universe.
Naujas kontraktas mums leidžia reikalauti ko tik norime.	The new contract enables us to demand whatever we want.
Nebijok suklysti.	Don't be afraid to make a mistake.
Ne kiek nesigailiu to, ką padariau.	I have no regrets about what I did.
Nelieskite to mėlyno mygtuko.	Don't touch that blue button.
Neliesk šio mėlyno mygtuko.	Don't touch that blue button.
Neliesk to mygtuko!	Don't touch that button!
Nesakykite jam jos adreso.	Don't let him know her address.
Nesitikėk (nelauk) per daug.	Don't expect too much.
Netgi aš buvau nugalėtas.	Even I was defeated.
Nevalgyk iš šitos lėkštės ir negerk iš to puodelio.	Don't eat from this plate and don't drink from that cup.
Niekas tavęs nenuskriaus.	Nobody's going to hurt you.
Nieko nevalgai.	You don't eat anything.
Numečiau šiek tiek svorio.	I've lost a little weight.
Nupirk man keturias didelias bulves.	Buy four big potatoes for me.
Nusiprausk.	Wash up.
Oho, tai garsu!	Wow, this is loud!
Pabaik sakinį.	Complete the sentence.
Pabandykime kąnors.	Let's try something.
Padėk peilį į vietą. Nervini mane.	Put that knife down. You're making me nervous.
Pagal rentgeno nuotrauką, viskas yra tvarkoje.	According to the X-ray, everything is all right.
Paplūdimys yra ideali vieta vaikams žaisti.	The beach is an ideal place for children to play.
Parašyk kąnors.	Write something.
Pasakyk jai, kad paskambintų man.	Tell her to call me.
Pataisyk mane jei aš esu neteisi.	Correct me if I am wrong.
Pataisyk mane jei aš esu neteisus.	Correct me if I am wrong.
Pažiūrėkime kas dedasi šioje didelėje šalyje.	Let's see what's happening in this big country.
Pažiūrėk į tą namą su raudonu stogu.	Look at the house with the red roof.
Pažiūrėkite į tą namą su raudonu stogu.	Look at the house with the red roof.
Per šalta vilkėti šortus.	It's still too cold to wear shorts.
Pilvo skausmai dingo.	The stomach pains are gone.
Po antklode yra šilta.	It's warm under the blanket.
Policija apkaltino jį žmogžudyste.	The police accused him of murder.
Policininkai dėvi mėlynas uniformas.	Police officers wear blue uniforms.
Pradėjo smarkiai lyti. Dėl to mes žaidėme viduje.	It started raining hard. Because of that, we played inside.
Prašau pasakyk Džonui kad aš skambinau.	Please tell John that I called.
Prieš dvejus metus aš visiškai nemokėjau žaisti krepšinio.	Two years ago I could not play basketball at all.
Rusija yra pati didžiausia šalis pasaulyje, o Vatikanas yra pati mažiausia šalis pasaulyje.	Russia is the biggest state in the world, and The Vatican is the smallest state in the world.
Sankryžoje pasuk į dešinę.	Turn right at the crossroad.
Šauniai pasidarbavai.	You have done very well.
Sėkmė jam nusišypsojo.	Fortune smiled on him.
Šiandienai pakanka.	That's enough for today.
Šiandien jaučiuosi truputį silpnai.	I feel a little weak today.
Šiandien mes švenčiame Afrikos dieną.	Today we celebrate Africa Day.
Šįvakar tu atrodai tiesiog žavingai.	You look very lovely tonight.
Šunis yra ištikimi.	Dogs are faithful.
Tai ką tu pasakei mane nustebino.	What you said surprised me.
Tai sudėtingiau, nei tu manai.	It's more difficult than you think.
Tas gandas iškart dingo.	The rumor disappeared right away.
Tau tereikia čia sedėti.	You have only to sit here.
Tau tik reikia čia sedėti.	You have only to sit here.
Tavo plaukai per ilgi.	Your hair is too long.
Tavo spėjimas yra beveik teisingas.	Your guess is almost right.
Tėte, ar tiki vaiduokliais?	Dad, do you believe in ghosts?
Tiesiog daryk, ką privalai, ir neklausinėk.	Just do what you have to do, no questions asked.
Tomas atmetė tą ką Merė sakė.	Tom dismissed what Mary was saying.
Tomas ir Merė abudu turi labai mažai draugų.	Tom and Mary both have very few friends.
Tomas mane baugina.	Tom creeps me out.
Tomas negalėjo nustoti čiaudėti.	Tom couldn't stop sneezing.
Tomas nori užvaldyti pasaulį.	Tom wants to take over the world.
Tomas vedė vyresnią moterį.	Tom married an older woman.
Tomas yra neįtikėtinai naivus.	Tom is unbelievably naive.
Tu atrodai negraži.	You look ugly.
Tu atrodai negražus.	You look ugly.
Tu gali sedėti kur tik nori.	You may sit wherever you like.
Tu negali atsinešti savo katę į mokyklą.	You can't bring your cat to school.
Tu niekada nesupranti mano juokų.	You never get my jokes.
Tu per daug naivus.	You're too naive.
Tu verta šio apdovanojimo.	You deserve the prize.
Tu visus nustebinai.	You surprised everybody.
Užsisakiau naujus baldus.	I ordered new furniture.
Vakar jis grįžo iš Tokijo.	He came from Tokyo yesterday.
Vanduo blizga saulėje.	Water glitters in the sunlight.
Viena iš kulkų pažeidė jo stuburą.	One of the bullets damaged his spine.
Vilką mini, vilkas čia.	Speak of the devil and he is sure to appear.
Visi, išskyrus ją, nusišypsojo.	Everybody but Tom smiled.
Yra tik du teisingi atsakymai.	There are only two correct answers.
Žinoma kad ji išlaikė testą.	Of course she passed the test.
Žmonės vis dar ne turi gimdymo už Žemės ribų patirties.	People still have no experience in bearing children outside of Earth.
Ačiū tau už tavo įspėjimą.	Thank you for your warning.
Aleksandra perėjo prie rusų kalbos.	Alexandra switched to Russian.
Ana labai mėgsta šokoladą.	Ann likes chocolate very much.
Ar galėčiau pasiskolinti šį CD?	May I borrow this CD?
Ar tai tavo pirmas kartas Korėjoje?	Is this your first time in Korea?
Ar tu prisimeni kur jis paliko savo skėtį?	Do you remember where he left his umbrella?
Ar tu sutikai Džiazminą Vokietijoje?	Did you meet Jasmin in Germany?
Ar tu žinai kur panelė Hadson gyvena?	Do you know where Miss Hudson lives?
Aš atsiimu tą ką pasakiau.	I take back what I said.
Aš atsiimu viską ką pasakiau.	I'll take back all I said.
Aš atvykau į Japoniją iš Kinijos.	I came to Japan from China.
Aš buvau liudytojas.	I was a witness.
Aš dar nepasiruošusi.	I'm not ready yet.
Aš eidavau į mokyklą.	I used to go to school.
Aš gimiau Asmaroje.	I was born in Asmara.
Aš ilgiuosi Italijos.	I miss Italy.
Aš išvalysiu virtuvę vėliau.	I'll clean up the kitchen later.
Aš jaučiuosi prislėgta.	I'm feeling down.
Aš ką tik pavalgiau, taigi nesu alkana.	I've just eaten so I'm not hungry.
Aš ką tik pavalgiau, taigi nesu alkanas.	I've just eaten so I'm not hungry.
Aš manau kad Tomas ketina nužudyti Merę.	I think Tom is going to try to kill Mary.
Aš mintinai žinau taisykles, bet gerai žaisti nemoku.	I know the rules by heart, but I'm not so good playing.
Aš nenugalimas!	I'm invincible!
Aš nežinau kada Bobas atvyko į Japoniją.	I don't know when Bob came to Japan.
Aš niekada negėriau arbatos su pienu.	I've never drank milk with tea.
Aš noriu būti laimingesnis.	I want to be happier.
Aš noriu gyventi Brazilijoje.	I want to live in Brazil.
Aš nuvykau į stotį.	I went to the station.
Aš paimsiu šį skėtį.	I'll take this umbrella.
Aš pamačiau mėnulį virš horizonto.	I saw the moon above the horizon.
Aš paslydau ir nukritau nuo laiptų.	I slipped and fell down the stairs.
Aš per klaidą netyčia paėmiau jo skėtį.	I accidentally mistakenly took his umbrella.
Aš pirmą kartą atvykau į Japoniją.	I came to Japan for the first time.
Aš sutikai Merę ir Džoną kai buvau Londone.	I met Mary and John when in London.
Aš valgau obuolį.	I'm eating an apple.
Aš viliuosi kad tu rasi tą ko aš ieškau.	I hope you'll find what I'm searching for.
Aš visada tą nešioju savo kišenėje.	I always carry it in my pocket.
Atsinešk savo puodelį į virtuvę.	Bring your cup to the kitchen.
Atsiprašau. Aš atsiimu savo žodžius.	I'm sorry. I take back my words.
Berniukas turi obuolį kišenėje.	The boy has an apple in his pocket.
Būk tylus kol mes valgome.	Be quiet while we are eating.
Dar nenusprendžiau.	I haven't decided yet.
Daryk viską, ką tik jis lieps tau daryti.	Do whatever it is that he tells you to do.
Dvi katės užlipo ant kėdės.	Two cats climbed up on a chair.
Edvardas yra jaunesnis už Robertą.	Edvardas is younger than Robertas.
Einu pas daktarę.	I'm going to the doctor.
Girdėjome naujienas, kad tu išlaikei egzaminą.	We heard the news that you had passed the exam.
Įėjimas tik personalui.	Entry is strictly for staff only.
Išėjau į pensiją praėjusiais metais.	I retired last year.
Išversk šią knygą į anglų kalbą.	Translate this book into English.
Jai tuo metu buvo devyniolika.	She was 19 at the time.
Jam buvo dešimt metų kai jis atvyko į Japoniją.	He came to Japan when he was 10 years old.
Jam šiandien negalima valgyti nieko saldaus.	Today, he is not allowed to eat anything sweet.
Jaučiuosi prislėgta.	I feel depressed.
Jei aš būčiau buvęs turtingas, aš tau būčiau davęs šiek tiek pinigų.	If I had been rich, I would have given you some money.
Jei aš norėčiau tave išgąsdinti, tada aš tau papasakočiau ką aš sapnavau prieš kelias savaites.	If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.
Jeigu jį pakviesi, jis veikiausiai ateis.	If you invite him, he'll probably come.
Jie jį vadina Džimu.	They call him Jim.
Jie nori, kad mes tai padarytume.	They want us to do it.
Jie tvirtino kad jis ją nužudė.	They argued that he killed her.
Ji mūsų paprašė patylėti.	She asked us to be quiet.
Ji nemėgo gyvenimo mieste.	She didn't like city life.
Ji paliko savo skėtį traukinyje.	She left her umbrella in the train.
Ji pati perskaitė visas mano knygas.	She read all my books by herself.
Ji reikalauja neįmanomo.	She's asking for the impossible.
Ji sakė, kad kas rytą keliasi šeštą.	She said that she gets up at six every morning.
Jis buvo labai senas ir ligotas.	He was very old and ill.
Jis įlipo į savo automobilį.	He climbed into his car.
Jis laiko savo kambarį švarų.	He keeps his room clean.
Jis mus praliksmino juokinga istorija.	He amused us with a funny story.
Jis naudojo savo skėtį kaip ginklą.	He used his umbrella as a weapon.
Jis nėra patenkintas rezultatu.	He is unsatisfied with the result.
Jis padarė savo tėvus laimingus.	He made his parents happy.
Jis pakankamai užaugęs tą suprasti.	He is old enough to understand it.
Jis skubiai užrašė mūsų vardus.	He hastily wrote down our names.
Ji suvalgė vieną obuolį.	She ate one apple.
Jis valgo obuolį.	He's eating an apple.
Jis visada apkalbinėja savo žmoną.	He's always bad-mouthing his wife.
Jis yra gerai informuotas asmuo.	He is a well informed person.
Jis yra nepatenkintas rezultatu.	He is unsatisfied with the result.
Jis yra sodininkas.	He's a gardener.
Ji valgo obuolį.	She's eating an apple.
Ji yra neįtikėtinai naivi.	She is unbelievably naïve.
Jo kalba buvo tinkama progai.	His speech was suitable for the occasion.
Jo katinas užlipo ant virtuvės stalo ir rado skanios mėsos.	His cat climbed up on the kitchen table and found some tasty meat.
Jo pasakojimas nebuvo tinkamas progai.	His story wasn't appropriate for the occasion.
Jos paltas nebuvo tinkamas progai.	Her coat wasn't appropriate for the occasion.
Jos senelė gyveno iki aštuoniasdešimt aštuonerių.	Her grandmother lived to be eighty-eight years old.
Jos tvirtino kad jis ją nužudė.	They argued that he killed her.
Jos vardas Irina.	Her name's Irina.
Jų obuoliai nėra tokie skanūs kaip mūsų.	Their apples aren't as tasty as ours.
Kadangi jis jautėsi ligotas, jis liko lovoje.	Since he was feeling sick, he stayed in bed.
Kas jums labiau patinka, pavasaris ar ruduo?	Which do you like better, spring or fall?
Kas pavogė šį obuolį?	Who stole the apple?
Kas yra tose dėžėse?	What's in these boxes?
Katinas pats užlipo ant mano namo stogo.	The cat climbed up the roof of my house by himself.
Kiek artimų draugų tu turi?	How many close friends do you have?
Kinija didesnė už Japoniją.	China is bigger than Japan.
Koks yra keisčiausias dalykas, kurį tau kada nors yra tekę valgyti?	What is the strangest thing you've ever eaten?
Kompiuteris tai komplikuota mašina.	A computer is a complex machine.
